lat,lon,time
22.55523807,113.94228,1547942636
22.55527793,113.9418522,1547942646
22.55528208,113.9418076,1547942656
22.55528963,113.9417265,1547942716
22.55530914,113.9414996,1547942826
22.55545567,113.9354801,1547943036
22.55513454,113.9285522,1547943086
22.5517874,113.9286363,1547943116
22.55094889,113.9286669,1547943126
22.55050857,113.9286706,1547943136
22.55040857,113.9286632,1547943146
22.54989915,113.9285544,1547943156
22.54914978,113.928408,1547943166
22.54875522,113.9283015,1547943176
22.54851497,113.9282149,1547943216
22.54773965,113.9278777,1547943226
22.54718313,113.9276069,1547943236
22.54631286,113.9271912,1547943266
22.54581001,113.9269825,1547943276
22.54495291,113.9266239,1547943286
22.54407457,113.9258816,1547943296
22.54389453,113.9257356,1547943299
22.54333712,113.9251771,1547943306
22.54317208,113.9242929,1547943316
22.54315875,113.9235895,1547943346
22.54317548,113.9229093,1547943356
22.54318866,113.922581,1547943366
22.54320994,113.9219483,1547943386
22.54316527,113.9209846,1547943396
22.54327088,113.9191556,1547943426
22.54328849,113.9184702,1547943436
22.54334459,113.9178659,1547943446
22.54335058,113.9177356,1547943456
22.54335795,113.9175753,1547943466
22.54354343,113.9156553,1547943506
22.54370784,113.9148896,1547943516
22.54392887,113.914,1547943526
22.54430501,113.9128691,1547943536
22.54471437,113.9118527,1547943546
22.54461197,113.9096845,1547943566
22.54402971,113.9097325,1547943576
22.54344867,113.9098001,1547943586
22.5426517,113.9098825,1547943596
22.54206246,113.9099374,1547943603
22.5417902,113.9099627,1547943606
22.54111081,113.910026,1547943616
22.54104963,113.9100317,1547943626
22.54078023,113.9100568,1547943646
22.54028144,113.9101032,1547943656
22.53966687,113.9101538,1547943666
22.53865762,113.910191,1547943676
22.53776293,113.9102182,1547943686
22.53759704,113.910223,1547943696
22.53697736,113.910241,1547943726
22.5361187,113.9102616,1547943736
22.53557811,113.9102802,1547943746
22.53554252,113.9102813,1547943786
22.53472881,113.910296,1547943806
22.53400163,113.9102913,1547943816
22.53352624,113.9102878,1547943826
22.53289581,113.9102826,1547943866
22.53240483,113.9102795,1547943876
22.53198172,113.9102761,1547943886
22.53163679,113.910277,1547943896
22.5315889,113.9102775,1547943916
22.52941566,113.9101376,1547943946
22.52815544,113.9100336,1547943956
22.52753073,113.9099727,1547943986
22.52672177,113.9098113,1547943996
22.52661677,113.9097855,1547944026
22.52622813,113.9096978,1547944036
22.52570699,113.9095989,1547944046
22.52494934,113.90943,1547944056
22.52442032,113.9093101,1547944062
22.52404413,113.9092249,1547944066
22.52343631,113.9090941,1547944076
22.52278323,113.9088829,1547944106
22.52251924,113.9087783,1547944116
22.52209783,113.9085308,1547944206
22.52141566,113.9080358,1547944216
22.51967723,113.9064418,1547944236
22.51885552,113.905672,1547944246
22.51832467,113.9051768,1547944256
22.51820993,113.9050682,1547944266
22.51799484,113.9048678,1547944276
22.51731437,113.9042485,1547944286
22.51668575,113.9036769,1547944316
22.51613887,113.9031251,1547944326
22.51572142,113.9027154,1547944336
22.51560061,113.9025933,1547944346
22.5155176,113.9025093,1547944366
22.51498422,113.9019681,1547944396
22.51475313,113.9017355,1547944406
22.51470097,113.9016827,1547944416
22.51462551,113.901606,1547944456
22.51445665,113.9014347,1547944546
