original_index,before_lat,before_lon,lat,lon,time
0,22.55529116,113.9422849,22.55523807,113.94228,1547942636
1,22.55497625,113.94182,22.55527793,113.9418522,1547942646
2,22.55496726,113.941774,22.55528208,113.9418076,1547942656
3,22.55516327,113.941713,22.55528963,113.9417265,1547942716
4,22.55539031,113.9415071,22.55530914,113.9414996,1547942826
5,22.555414,113.9282579,22.55545567,113.9354801,1547943036
6,22.55513493,113.9285399,22.55513454,113.9285522,1547943086
7,22.55178591,113.9285779,22.5517874,113.9286363,1547943116
8,22.5509469,113.9286089,22.55094889,113.9286669,1547943126
9,22.5505079,113.9286089,22.55050857,113.9286706,1547943136
10,22.55041891,113.9285929,22.55040857,113.9286632,1547943146
11,22.54990892,113.9285099,22.54989915,113.9285544,1547943156
12,22.54916696,113.9283339,22.54914978,113.928408,1547943166
13,22.54877598,113.928212,22.54875522,113.9283015,1547943176
14,22.548553,113.928105,22.54851497,113.9282149,1547943216
15,22.54779407,113.9277471,22.54773965,113.9278777,1547943226
16,22.54722012,113.9275181,22.54718313,113.9276069,1547943236
17,22.54632219,113.9271672,22.54631286,113.9271912,1547943266
18,22.54581423,113.9269682,22.54581001,113.9269825,1547943276
19,22.5449443,113.9266253,22.54495291,113.9266239,1547943286
20,22.54407746,113.9258775,22.54407457,113.9258816,1547943296
21,22.54390149,113.9257255,22.54389453,113.9257356,1547943299
22,22.5432916,113.9252066,22.54333712,113.9251771,1547943306
23,22.54309279,113.9242988,22.54317208,113.9242929,1547943316
24,22.54312994,113.92359,22.54315875,113.9235895,1547943346
25,22.54320409,113.9229112,22.54317548,113.9229093,1547943356
26,22.54324816,113.9225832,22.54318866,113.922581,1547943366
27,22.5432373,113.9219494,22.54320994,113.9219483,1547943386
28,22.54325051,113.9209886,22.54316527,113.9209846,1547943396
29,22.54332891,113.919158,22.54327088,113.9191556,1547943426
30,22.54333506,113.9184712,22.54328849,113.9184702,1547943436
31,22.54340919,113.9178693,22.54334459,113.9178659,1547943446
32,22.54342122,113.9177394,22.54335058,113.9177356,1547943456
33,22.54343625,113.9175794,22.54335795,113.9175753,1547943466
34,22.54355067,113.9156569,22.54354343,113.9156553,1547943506
35,22.54373984,113.914886,22.54370784,113.9148896,1547943516
36,22.54395004,113.9140092,22.54392887,113.914,1547943526
37,22.54431429,113.9128725,22.54430501,113.9128691,1547943536
38,22.54465852,113.9118357,22.54471437,113.9118527,1547943546
39,22.54461099,113.9096693,22.54461197,113.9096845,1547943566
40,22.54402898,113.9097222,22.54402971,113.9097325,1547943576
41,22.54344696,113.9097832,22.54344867,113.9098001,1547943586
42,22.54264994,113.9098602,22.5426517,113.9098825,1547943596
43,22.54205694,113.9098672,22.54206246,113.9099374,1547943603
44,22.54178393,113.9098832,22.5417902,113.9099627,1547943606
45,22.54109893,113.9098752,22.54111081,113.910026,1547943616
46,22.54103793,113.9098832,22.54104963,113.9100317,1547943626
47,22.54076892,113.9099132,22.54078023,113.9100568,1547943646
48,22.5402749,113.9100202,22.54028144,113.9101032,1547943656
49,22.53966488,113.9100892,22.53966687,113.9101538,1547943666
50,22.53865587,113.9101341,22.53865762,113.910191,1547943676
51,22.53775987,113.9100892,22.53776293,113.9102182,1547943686
52,22.53759387,113.9100892,22.53759704,113.910223,1547943696
53,22.53697585,113.9101731,22.53697736,113.910241,1547943726
54,22.53611685,113.9101731,22.5361187,113.9102616,1547943736
55,22.53557584,113.9101951,22.53557811,113.9102802,1547943746
56,22.53554083,113.9102181,22.53554252,113.9102813,1547943786
57,22.53472881,113.9102951,22.53472881,113.910296,1547943806
58,22.53400182,113.9102641,22.53400163,113.9102913,1547943816
59,22.53352683,113.9102031,22.53352624,113.9102878,1547943826
60,22.53289583,113.9101801,22.53289581,113.9102826,1547943866
61,22.53240583,113.9101801,22.53240483,113.9102795,1547943876
62,22.53198181,113.9102561,22.53198172,113.9102761,1547943886
63,22.53163681,113.9102791,22.53163679,113.910277,1547943896
64,22.53158881,113.9102641,22.5315889,113.9102775,1547943916
65,22.52872285,113.9100122,22.52941566,113.9101376,1547943946
66,22.52816387,113.9099212,22.52815544,113.9100336,1547943956
67,22.52753787,113.9099052,22.52753073,113.9099727,1547943986
68,22.52674291,113.9097222,22.52672177,113.9098113,1547943996
69,22.52663992,113.9096693,22.52661677,113.9097855,1547944026
70,22.52627597,113.9094253,22.52622813,113.9096978,1547944036
71,22.52576801,113.9092494,22.52570699,113.9095989,1547944046
72,22.52497099,113.9093183,22.52494934,113.90943,1547944056
73,22.52443501,113.9092344,22.52442032,113.9093101,1547944062
74,22.52405702,113.9091584,22.52404413,113.9092249,1547944066
75,22.52345505,113.9089984,22.52343631,113.9090941,1547944076
76,22.52282711,113.9087465,22.52278323,113.9088829,1547944106
77,22.52255412,113.9086775,22.52251924,113.9087783,1547944116
78,22.52213517,113.9084645,22.52209783,113.9085308,1547944206
79,22.52146727,113.9079687,22.52141566,113.9080358,1547944216
80,22.5196826,113.906435,22.51967723,113.9064418,1547944236
81,22.51887977,113.9056422,22.51885552,113.905672,1547944246
82,22.51839289,113.9050923,22.51832467,113.9051768,1547944256
83,22.51828891,113.9049703,22.51820993,113.9050682,1547944266
84,22.51806295,113.9047804,22.51799484,113.9048678,1547944276
85,22.51736408,113.9041845,22.51731437,113.9042485,1547944286
86,22.5167232,113.9036277,22.51668575,113.9036769,1547944316
87,22.51617031,113.9030868,22.51613887,113.9031251,1547944326
88,22.5157564,113.9026749,22.51572142,113.9027154,1547944336
89,22.51563542,113.9025529,22.51560061,113.9025933,1547944346
90,22.51555244,113.9024689,22.5155176,113.9025093,1547944366
91,22.51501256,113.9019351,22.51498422,113.9019681,1547944396
92,22.5147526,113.9017361,22.51475313,113.9017355,1547944406
93,22.5146876,113.9016981,22.51470097,113.9016827,1547944416
94,22.51459862,113.9016371,22.51462551,113.901606,1547944456
95,22.51445966,113.9014312,22.51445665,113.9014347,1547944546
